tradingDay,logR,buyP,sellP,ideal
20151218,-0.003177041455821364,2.2752843556159728,-2.6818671354290817,0.0
20151221,0.02242174343473013,2.1920605974427168,-2.6021205748052205,0.0
20151222,0.0017714300908587188,2.325830122673654,-2.7350999964636173,0.0
20151223,0.0009625366129706584,2.194454141616451,-2.605144943634855,0.0
20151224,-0.005890313887422267,2.178189994521703,-2.5897591862803755,0.0
20151225,0.005626143531506064,2.0785123795989304,-2.4886961443661573,0.0
20151228,-0.022596386208891688,1.295577261733796,-1.7130858116421324,0.0
20151229,0.015237320161070938,1.6498128803176115,-2.0657407139021786,0.0
20151230,0.007256607024718895,2.114921977475634,-2.527498982127012,0.0
20151231,-0.006463845712022707,1.7656198173754067,-2.1777151898609994,0.0
20160104,-0.08515709722944863,-0.09241691825223576,-0.3256024166952016,0.0
20160105,0.004414242878419736,0.16444972835643404,-0.5825984505463729,0.0
20160106,0.02207553248513816,0.4688658436714282,-0.8880584503865914,0.0
20160107,-0.08291215393290685,-0.6055132973414415,0.1668697640722205,0.008057570142281062
20160108,0.02765407678181591,-0.14757752512163738,-0.29156184331604523,0.006034603273704893
20160111,-0.059875277644919886,-0.31187190308121393,-0.11580675127566865,0.007763641289209007
20160112,0.010997307334441516,-0.3680718814620925,-0.058993692212142124,0.010736435797284229
20160113,-0.021933796625139727,-1.1736065593733045,0.7393822251105445,0.031345088092343806
20160114,0.02895376487441332,-0.9092755556166148,0.4789411921902949,0.046185137954793495
20160115,-0.03188496566306988,-1.6991374214288493,1.2705952491938564,0.07842365515940827
20160118,0.002625550224483757,-1.541628344246907,1.1137686439964969,0.1072051623298353
20160119,0.03232197146212472,-1.0166179569966174,0.5880360408594354,0.1244277743901147
20160120,-0.021285946870919337,-1.0478527370054018,0.6231844613049025,0.14238451529582755
20160121,-0.031882900867727174,-1.7618167512741634,1.340484036975142,0.17608849125227088
20160122,0.007656613183993456,-1.4490034924484343,1.0279522959429042,0.20291395372807008
20160125,0.002568698068500065,-1.5028046754143127,1.0803086325336435,0.2309057040726169
20160126,-0.06573176610460088,-3.024587500499785,2.609076083919322,0.29246049208464664
20160127,-0.009674648856941812,-3.242878829448645,2.828418410094541,0.35883030130026755
20160128,-0.02718827416470124,-3.9017850804866336,3.489817506626097,0.4397259621846471
20160129,0.039865697413898664,-3.4108141551446045,2.996208191229849,0.5097886020308513
20160201,-0.013395318013150808,-3.7978704627395294,3.3844201935844245,0.5883803489812597
20160202,0.031393041326130765,-3.3467869157997434,2.933297358754757,0.6570477864443143
20160203,-0.0017194774544202786,-3.4469946914493166,3.033935626695012,0.7279249608791475
20160204,0.013461979573219526,-3.0811335875949206,2.665887263195445,0.7907269439134421
20160205,-0.013223040329474457,-3.3142655923084705,2.9002904545925468,0.8586730852916373
20160215,0.0028718722244279017,-3.2934449787015216,2.8795000287382884,0.926161535423512
20160216,0.03111584185316728,-2.281000679823739,1.8641943468652005,0.9713418743841318
20160217,0.01198489338980256,-2.4442684832932926,2.025908745795044,1.0
20160218,-0.009160832588955559,-2.8453168242915643,2.427798408355413,1.0
20160219,0.003296560369151448,-2.6624720396930206,2.2442659877451767,1.0
20160222,0.023248643739691408,-1.7161245498012023,1.3256261581461055,1.0
20160223,-0.010010942690028352,-1.9772044481683329,1.5874801364164182,1.0
20160224,0.016465693370850666,-1.7695416084902005,1.3814460869771379,1.0
20160225,-0.06705902828193916,-2.3964493682655617,2.044730714314866,1.0
20160226,0.008922079611731555,-2.725451987453488,2.377989543460597,1.0
20160229,-0.0377942909772848,-3.0228703949596314,2.696540332422262,1.0
20160301,0.01167458604468987,-2.959051516753953,2.632918003396324,1.0
20160302,0.03988972008746019,-1.6938383501995748,1.3670117262578003,1.0
20160303,0.0006148109650004112,-2.096149184335637,1.7756652926072949,1.0
20160304,0.0077042459354883346,-1.4550292644758132,1.1394500180928728,1.0
20160307,0.0042250618425574045,-1.5006813365626088,1.1846422901434543,1.0
20160308,0.0035646391181416185,-1.4341997892294764,1.1188298646923625,1.0
20160309,-0.009637289855614298,-1.3131244202533705,1.0000591636048672,1.0
20160310,-0.015946471829687614,-1.4685319804000438,1.1615975668052472,1.0
20160311,-0.0019829647757426553,-1.6160407443465994,1.3097475791549484,1.0
20160314,0.019866350755993,-1.2160227623705826,0.9087086724585034,1.0
20160315,0.004031861113370578,-0.20739559998507467,-0.0721088772638766,1.0
20160316,0.00013299115628407284,-0.041331461974857917,-0.23749726608594665,0.9975633474267172
20160317,0.015647930050525064,0.703045258246539,-0.9767694190907232,0.9788116618151629
20160318,0.016857117066422806,0.3747835271611947,-0.6381686088044706,0.9674058032378976
20160321,0.014321949507548688,1.1059130101597987,-1.3673530071010909,0.9399384370510864
20160322,-0.003967861561385516,0.5977002969246131,-0.8518425260763763,0.9237393237689238
20160323,0.004485923184286471,1.1955066393859677,-1.4552773168306905,0.8943209295730958
20160324,-0.00903166295776716,1.0168763266944552,-1.278901936681662,0.8688053430659715
20160325,0.0021177559710012085,1.2745967649840029,-1.5349463476657224,0.8376400192441427
20160328,-0.0019979946626730856,1.1110422444678207,-1.371640395940581,0.8100699120481775
20160329,-0.014598034715562666,-0.04301793325634819,-0.2116299370686788,0.8079605321359168
20160330,0.02564630402355756,0.7465915894607845,-1.0002616512954376,0.7884914764257637
20160331,0.014458963557617529,1.2158854320238983,-1.4691016881561598,0.7587034018476508
20160401,-0.005055758837788019,1.047920781783513,-1.301343806807108,0.7326080683481304
20160405,0.02408950392763053,1.7574297309111024,-2.0075193863432,0.690943538402901
20160406,1.8999819502277547e-05,1.9638958286947383,-2.2128011588679537,0.6447509662095382
20160407,-0.009284972253302036,1.289301410136101,-1.5373930364533075,0.6134092356707376
20160408,-0.009126520278300665,2.6071742411883463,-2.81555309035032,0.5535508561746503
20160411,0.015309213683840191,2.926580244127852,-3.1338645547844064,0.4866786790759589
20160412,-0.0047593075583892116,3.976867303336668,-4.168634569959985,0.3968863912030723
20160413,0.0072367514344265265,4.046428875963509,-4.236610535846158,0.3055827760132834
20160414,0.003504850828457568,3.736768420737544,-3.9102639132743016,0.2212919248466164
20160415,0.000936561289526387,3.839640845079552,-4.012963355213633,0.13473995613325726
20160418,-0.004218887001621752,2.548787192886206,-2.734276324543209,0.07644076830987667
20160419,0.009412562519317928,2.9213337562403603,-3.105887930994548,0.009956775575538491
